,State,Date,Case,Population,Case_1m,Daily_Case,Daily_Case_1m,Daily_Case_1m_sm,Daily_Case_1m_Change,Daily_Case_1m_RoC,retail,grocery,parks,transit,workplace,residential,location_name,location_id,peak_bed_day_mean,peak_bed_day_lower,peak_bed_day_upper,peak_icu_bed_day_mean,peak_icu_bed_day_lower,peak_icu_bed_day_upper,peak_vent_day_mean,peak_vent_day_lower,peak_vent_day_upper,all_bed_capacity,icu_bed_capacity,all_bed_usage,icu_bed_usage,available_all_nbr,available_icu_nbr,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date,stay_home_days,non_essential_closed_days
20,Alabama,2020-03-15,11,4903185.0,2.243439723363487,4,0.8157962630412681,1.6315925260825361,0.8837792849613738,0.08222875343423645,-1.690909090909091,16.770491803278688,2.5294117647058822,7.2727272727272725,-2.98,2.4761904761904763,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
21,Alabama,2020-03-16,29,4903185.0,5.914522907049193,18,3.671083183685706,2.175456701443381,0.5438641753608451,0.04675749895307035,1.719298245614035,22.737704918032787,13.928571428571429,2.1363636363636362,-6.411764705882353,3.5135135135135136,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
22,Alabama,2020-03-17,39,4903185.0,7.954013564652364,10,2.03949065760317,2.7193208768042267,0.5438641753608455,0.04466889322487355,-5.894736842105263,15.774193548387096,27.166666666666668,1.0909090909090908,-12.661764705882353,5.864864864864865,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
23,Alabama,2020-03-18,51,4903185.0,10.401402353776167,12,2.447388789123804,3.3311680740851775,0.6118471972809507,0.04810376302375976,-9.10344827586207,14.049180327868852,42.0,-0.6190476190476191,-16.529411764705884,7.0,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
24,Alabama,2020-03-19,78,4903185.0,15.908027129304728,27,5.506624775528559,4.55486246864708,1.2236943945619028,0.09179198610065353,-14.169491525423728,16.80327868852459,22.333333333333332,-2.8636363636363638,-19.676470588235293,8.891891891891891,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
25,Alabama,2020-03-20,106,4903185.0,21.618600970593604,28,5.710573841288877,5.4386417536084535,0.8837792849613733,0.06072055210862623,-24.90625,10.6875,5.333333333333333,-10.625,-23.808823529411764,12.424242424242424,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
26,Alabama,2020-03-21,131,4903185.0,26.71732761460153,25,5.098726644007925,5.370658731688349,-0.06798302192010475,-0.00440343282816412,-28.78688524590164,8.828125,22.428571428571427,-9.681818181818182,-14.203703703703704,8.142857142857142,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
27,Alabama,2020-03-22,157,4903185.0,32.020003324369775,26,5.302675709768243,6.118471972809512,0.7478132411211629,0.04865199691015594,-35.333333333333336,-5.32258064516129,1.5,-19.545454545454547,-25.235294117647058,8.882352941176471,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
28,Alabama,2020-03-23,196,4903185.0,39.97401688902214,39,7.954013564652364,7.546115433131729,1.4276434603222175,0.08857188589157398,-28.982758620689655,-4.492063492063492,-16.6,-20.304347826086957,-27.308823529411764,13.5,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
29,Alabama,2020-03-24,242,4903185.0,49.35567391399672,46,9.381657024974583,15.228196910103671,7.682081476971942,0.437822349126128,-27.383333333333333,-5.426229508196721,2.75,-14.227272727272727,-28.61764705882353,13.363636363636363,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
